Pos,ID,Name,BV,SV,Team,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts
D,387,O'Reilly,6.5,6.5,Man City,71.55,71.55,71.1,71.1,71.1,3.84,4.69,2.93,4.46,2.7
D,388,Guéhi,6.0,6.0,Man City,60.9,60.9,60.9,60.9,60.9,3.04,3.35,2.29,3.34,2.14
D,389,Matheus N.,6.0,6.0,Man City,26.14,26.14,25.63,25.63,25.63,1.36,1.56,1.16,1.51,1.12
D,390,Rúben,5.5,5.5,Man City,70.8,70.8,70.8,70.8,70.8,3.11,3.42,2.33,3.48,2.18
D,391,Gvardiol,5.5,5.5,Man City,83.1,83.1,83.1,83.1,83.1,4.2,4.9,3.23,4.84,3.07
D,392,Aït-Nouri,5.5,5.5,Man City,43.8,33.9,10.62,10.62,10.62,2.75,2.48,0.58,0.7,0.59
D,393,Khusanov,5.5,5.5,Man City,68.55,68.55,68.55,68.55,68.55,3.06,3.6,2.4,3.58,2.28
D,394,Alleyne,5.0,5.0,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,395,Lewis,4.5,4.5,Man City,12.6,12.6,12.6,12.6,12.6,0.74,0.82,0.63,0.81,0.61
D,396,Vitor Reis,4.5,4.5,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
