index,ID,Name,Team,Pos,1_Val,1_Pts,1_xMins,1_rp,1_rmin,1_games
154,154,Welbeck,BHA,4,6.0,2.704,40.57,2.0,77.0,1.0
155,155,Zeqiri,BHA,4,4.5,0.0,0.0,0.0,0.0,0.0
156,156,Agyei,BUR,3,4.5,0.0,0.0,0.0,0.0,0.0
157,157,Al-Dakhil,BUR,2,4.0,0.846,47.61,1.0,90.0,1.0
158,158,Bastien,BUR,3,5.0,0.0,0.0,0.0,0.0,0.0
159,159,Benson,BUR,3,5.5,1.999,46.94,1.0,16.0,1.0
160,160,Beyer,BUR,2,4.0,1.418,88.2,1.0,73.0,1.0
161,161,Brownhill,BUR,3,5.0,2.1830000000000003,76.13,1.0,1.0,1.0
162,162,Churlinov,BUR,3,4.5,0.222,3.3,0.0,0.0,0.0
163,163,Cork,BUR,3,5.0,1.444,54.91,0.0,0.0,0.0
164,164,Costelloe,BUR,3,4.5,0.0,0.0,0.0,0.0,0.0
165,165,Cullen,BUR,3,5.0,1.82,72.27,2.0,90.0,1.0
166,166,Egan-Riley,BUR,2,4.0,0.0,0.0,0.0,0.0,0.0
167,167,Ekdal,BUR,2,4.0,0.633,31.45,0.0,0.0,0.0
168,168,Foster,BUR,4,5.0,1.819,43.3,2.0,90.0,1.0
169,169,Franchi,BUR,1,4.0,0.0,0.0,0.0,0.0,0.0
170,170,Gudmundsson,BUR,3,5.0,1.661,40.26,0.0,0.0,0.0
171,171,McNally,BUR,2,4.0,0.0,0.0,0.0,0.0,0.0
172,172,Muric,BUR,1,4.5,1.493,44.65,0.0,0.0,0.0
173,173,O'Shea,BUR,2,4.5,1.115,67.93,1.0,90.0,1.0
174,174,Obafemi,BUR,4,5.0,0.0,0.0,0.0,0.0,0.0
175,175,Peacock-Farrell,BUR,1,4.0,0.0,0.0,0.0,0.0,0.0
176,176,Roberts,BUR,2,4.5,1.591,84.48,1.0,90.0,1.0
177,177,Rodriguez,BUR,4,5.5,1.734,40.99,0.0,0.0,0.0
178,178,Taylor,BUR,2,4.0,0.6679999999999999,35.11,0.0,0.0,0.0
