,ID,Points,Minutes,sim
43,111,7,90,6
44,120,2,90,6
45,122,8,90,6
46,126,7,90,6
47,135,7,90,6
48,136,2,90,6
49,146,2,90,6
50,147,2,90,6
51,148,2,90,6
52,149,2,90,6
53,152,6,90,6
54,157,4,90,6
55,159,2,90,6
56,162,2,90,6
57,163,5,90,6
58,168,2,90,6
59,177,12,90,6
60,180,2,90,6
61,181,2,90,6
62,182,6,90,6
63,185,2,90,6
64,187,2,90,6
65,188,2,90,6
66,189,2,90,6
67,191,1,90,6
68,192,3,90,6
69,199,5,90,6
70,200,2,90,6
71,201,2,90,6
72,202,2,90,6
73,204,2,90,6
74,205,2,90,6
75,206,2,90,6
76,210,3,90,6
77,211,2,90,6
78,216,2,90,6
79,219,2,90,6
80,220,2,90,6
81,222,2,90,6
82,223,2,90,6
83,224,2,90,6
84,230,2,90,6
85,231,3,90,6
86,233,3,90,6
87,235,2,90,6
88,236,2,90,6
89,238,2,90,6
90,240,2,90,6
91,245,1,90,6
92,247,2,90,6
93,248,1,90,6
94,249,2,90,6
95,251,2,90,6
96,252,2,90,6
97,255,1,90,6
98,265,7,90,6
99,267,1,90,6
100,268,2,90,6
101,270,1,90,6
102,274,2,90,6
103,278,2,90,6
104,282,1,90,6
105,291,6,90,6
106,293,6,90,6
107,295,6,90,6
108,296,6,90,6
109,300,3,90,6
110,301,6,90,6
111,306,2,90,6
112,309,4,90,6
113,310,6,90,6
114,311,6,90,6
115,317,3,90,6
116,323,3,90,6
117,326,6,90,6
118,327,8,90,6
119,328,5,90,6
120,329,3,90,6
121,335,6,90,6
122,336,3,90,6
123,338,2,90,6
124,339,6,90,6
125,342,8,90,6
126,347,6,90,6
127,348,5,90,6
128,349,3,90,6
129,350,6,90,6
130,351,9,90,6
131,354,3,90,6
132,355,10,90,6
133,359,2,90,6
134,361,6,90,6
135,365,2,90,6
136,366,2,90,6
137,368,2,90,6
138,369,2,90,6
139,376,2,90,6
140,380,2,90,6
141,382,2,90,6
142,383,3,90,6
143,388,5,90,6
144,389,2,90,6
145,394,3,90,6
146,395,6,90,6
147,397,2,90,6
148,398,8,90,6
149,402,3,90,6
150,403,3,90,6
151,404,6,90,6
152,410,3,90,6
153,413,6,90,6
154,415,6,90,6
155,420,3,90,6
156,423,2,90,6
157,431,2,90,6
158,434,7,90,6
159,436,1,90,6
160,443,1,90,6
161,447,2,90,6
162,449,5,90,6
163,455,1,90,6
164,461,1,90,6
165,463,5,90,6
166,474,1,90,6
167,475,1,90,6
168,480,5,90,6
169,482,2,90,6
170,491,3,90,6
171,492,2,90,6
172,494,2,90,6
173,495,1,90,6
174,498,1,90,6
175,501,3,90,6
176,503,2,90,6
177,506,1,90,6
178,508,3,90,6
179,513,3,90,6
180,514,5,90,6
181,517,2,90,6
182,518,2,90,6
183,520,2,90,6
184,524,11,90,6
185,525,7,90,6
186,527,4,90,6
187,530,2,90,6
188,531,2,90,6
189,533,1,90,6
190,535,5,90,6
191,541,8,90,6
192,550,2,90,6
193,553,2,90,6
194,557,2,90,6
195,564,1,90,6
196,566,5,90,6
197,567,1,90,6
198,568,1,90,6
199,569,3,90,6
200,570,3,90,6
201,571,6,90,6
202,573,1,90,6
203,578,3,90,6
204,580,6,90,6
205,588,2,90,6
206,590,9,90,6
207,591,2,90,6
208,593,2,90,6
209,594,2,90,6
210,596,2,90,6
211,618,2,90,6
212,622,2,90,6
213,623,2,90,6
214,625,3,90,6
215,628,2,90,6
216,630,1,90,6
217,632,5,90,6
218,651,2,90,6
219,10149,2,90,6
0,2,5,90,7
1,3,6,90,7
2,4,9,90,7
3,6,6,90,7
4,9,10,90,7
5,11,2,90,7
6,14,0,90,7
7,15,9,90,7
8,16,8,90,7
9,17,3,90,7
10,18,16,90,7
11,19,2,90,7
