,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
229,17,368,Sigurdsson,3,16,Swansea,80,74,2
234,17,37,Arter,3,2,Bournemouth,91,50,2
235,17,403,Kane,4,17,Spurs,6,119,2
242,17,380,Lloris,1,17,Spurs,6,55,2
258,17,157,Livermore,3,19,West Brom,35,47,2
274,17,385,Vertonghen,2,17,Spurs,6,58,2
277,17,110,Puncheon,3,5,Crystal Palace,31,51,2
283,17,560,Hendrick,3,3,Burnley,90,53,2
307,17,330,Walters,3,14,Stoke,110,53,2
323,17,48,King,3,2,Bournemouth,91,62,2
331,17,411,Holebas,2,18,Watford,57,46,2
342,17,165,Schmeichel,1,8,Leicester,13,49,2
361,17,125,Baines,2,6,Everton,11,58,2
385,17,337,Diouf,4,14,Stoke,110,57,2
406,17,106,Kelly,2,5,Crystal Palace,31,42,2
418,17,446,Phillips,3,19,West Brom,35,53,2
423,17,14,Özil,3,1,Arsenal,3,95,2
433,17,413,Britos,2,18,Watford,57,42,2
441,17,391,Dembélé,3,17,Spurs,6,54,2
444,17,95,Kanté,3,4,Chelsea,8,47,2
446,17,392,Chadli,3,19,West Brom,35,58,2
457,17,226,Otamendi,2,10,Man City,43,59,2
489,17,2,Cech,1,1,Arsenal,3,54,2
499,17,132,Funes Mori,2,6,Everton,11,45,2
506,17,176,Mahrez,3,8,Leicester,13,89,2
511,17,155,Snodgrass,3,20,West Ham,21,55,2
513,17,143,Lukaku,4,6,Everton,11,101,2
528,17,156,Clucas,3,7,Hull,88,47,2
533,17,63,Arfield,3,3,Burnley,90,52,2
581,17,160,Huddlestone,3,7,Hull,88,45,2
583,17,425,Deeney,4,18,Watford,57,66,2
589,17,400,Wanyama,3,17,Spurs,6,48,2
593,17,303,van Dijk,2,13,Southampton,20,56,2
599,17,369,Routledge,3,16,Swansea,80,45,2
602,17,111,Zaha,3,5,Crystal Palace,31,58,2
611,17,118,Cabaye,3,5,Crystal Palace,31,56,2
7,17,164,Diomande,4,7,Hull,88,43,1
8,17,563,Traoré,3,12,Middlesbrough,25,48,1
38,17,558,Mawson,2,16,Swansea,80,46,1
39,17,412,Nyom,2,19,West Brom,35,44,1
48,17,120,Townsend,3,5,Crystal Palace,31,57,1
49,17,374,Ayew,3,20,West Ham,21,71,1
53,17,361,Rangel,2,16,Swansea,80,41,1
65,17,224,Sagna,2,10,Man City,43,53,1
71,17,52,Afobe,4,2,Bournemouth,91,53,1
78,17,56,Mee,2,3,Burnley,90,44,1
94,17,562,Martins Indi,2,14,Stoke,110,49,1
105,17,328,Adam,3,14,Stoke,110,46,1
107,17,33,Daniels,2,2,Bournemouth,91,52,1
177,17,308,Tadic,3,13,Southampton,20,69,1
184,17,204,Can,3,9,Liverpool,14,48,1
208,17,137,Barry,3,6,Everton,11,43,1
209,17,436,McAuley,2,19,West Brom,35,50,1
216,17,276,Friend,2,12,Middlesbrough,25,42,1
