,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2469,14,468,King,4,Watford,Watford,57,57,2
2474,14,257,Ederson,1,Man City,Man City,43,61,2
2489,14,421,Rice,3,West Ham,West Ham,21,50,2
2504,14,552,Forshaw,3,Leeds,Leeds,2,45,2
2510,14,145,Gilmour,3,Norwich,Norwich,45,43,2
2512,14,453,Fernandinho,3,Man City,Man City,43,47,2
2515,14,15,Partey,3,Arsenal,Arsenal,3,50,2
2519,14,430,Jiménez,4,Wolves,Wolves,39,77,2
2530,14,64,Trossard,3,Brighton,Brighton,36,59,2
2531,14,77,Nørgaard,3,Brentford,Brentford,94,50,2
2538,14,318,McLean,3,Norwich,Norwich,45,49,2
2541,14,230,Mané,3,Liverpool,Liverpool,14,117,2
2544,14,75,Moder,3,Brighton,Brighton,36,45,2
2565,14,35,McGinn,3,Aston Villa,Aston Villa,7,57,2
2570,14,256,Cancelo,2,Man City,Man City,43,69,2
2571,14,41,Nakamba,3,Aston Villa,Aston Villa,7,44,2
2581,14,232,Fabinho,3,Liverpool,Liverpool,14,54,2
2619,14,154,Zaha,3,Crystal Palace,Crystal Palace,31,68,2
2638,14,420,Bowen,3,West Ham,West Ham,21,68,2
2648,14,132,Loftus-Cheek,3,Chelsea,Chelsea,8,54,2
2680,14,224,Matip,2,Liverpool,Liverpool,14,49,2
2685,14,326,Aarons,2,Norwich,Norwich,45,43,2
2687,14,127,Rüdiger,2,Chelsea,Chelsea,8,61,2
2706,14,408,Fabianski,1,West Ham,West Ham,21,50,2
2714,14,319,Hanley,2,Norwich,Norwich,45,44,2
2715,14,30,Martínez,1,Aston Villa,Aston Villa,7,55,2
2718,14,137,Pulisic,3,Chelsea,Chelsea,8,79,2
2742,14,84,Janelt,3,Brentford,Brentford,94,49,2
2745,14,96,Mbeumo,3,Brentford,Brentford,94,52,2
2747,14,314,Krul,1,Norwich,Norwich,45,45,2
2751,14,266,Rodrigo,3,Man City,Man City,43,55,2
2764,14,205,Vardy,4,Leicester,Leicester,13,103,2
