,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1537,22,171,Zanka,2,8,Huddersfield,38,45,1
1552,22,16,Özil,3,1,Arsenal,3,93,1
1556,22,146,Keane,2,7,Everton,11,53,1
1569,22,197,Wagué,2,18,Watford,57,45,1
1585,22,38,Aké,2,2,Bournemouth,91,50,1
1600,22,372,McBurnie,4,16,Swansea,80,46,1
1612,22,124,van Aanholt,2,6,Crystal Palace,31,52,1
1615,22,291,Dummett,2,13,Newcastle,4,42,1
1618,22,452,Obiang,3,20,West Ham,21,42,1
1626,22,334,Bardsley,2,4,Burnley,90,40,1
1644,22,235,Firmino,4,10,Liverpool,14,95,1
1686,22,56,Duffy,2,3,Brighton,36,46,1
1689,22,12,Mustafi,2,1,Arsenal,3,54,1
1714,22,94,Courtois,1,5,Chelsea,8,53,1
1717,22,269,Fosu-Mensah,2,6,Crystal Palace,31,44,1
1735,22,102,Moses,2,5,Chelsea,8,65,1
1750,22,106,Willian,3,5,Chelsea,8,70,1
1755,22,342,Shaqiri,3,15,Stoke,110,61,1
1113,22,443,Cresswell,2,20,West Ham,21,49,0
1139,22,21,Iwobi,3,1,Arsenal,3,51,0
1151,22,475,Robertson,2,10,Liverpool,14,50,0
1159,22,457,Carroll,4,20,West Ham,21,57,0
1168,22,103,Rüdiger,2,5,Chelsea,8,58,0
1169,22,267,Valencia,2,12,Man Utd,1,69,0
1178,22,277,Young,3,12,Man Utd,1,48,0
1187,22,196,Chilwell,2,9,Leicester,13,44,0
1229,22,434,Brunt,3,19,West Brom,35,50,0
1231,22,263,Smalling,2,12,Man Utd,1,57,0
1264,22,346,Fletcher,3,15,Stoke,110,47,0
1274,22,520,Sánchez,2,17,Spurs,6,60,0
1339,22,59,Bong,2,3,Brighton,36,44,0
1353,22,359,Sigurdsson,3,7,Everton,11,80,0
1373,22,155,Gueye,3,7,Everton,11,48,0
1374,22,253,Gündogan,3,11,Man City,43,54,0
1387,22,482,Riedewald,2,6,Crystal Palace,31,46,0
1391,22,441,Collins,2,20,West Ham,21,43,0
1392,22,441,Collins,2,20,West Ham,21,43,0
1402,22,209,Vardy,4,9,Leicester,13,88,0
1438,22,174,Hogg,3,8,Huddersfield,38,44,0
1441,22,145,Kenny,2,7,Everton,11,39,0
1451,22,488,Joselu,4,13,Newcastle,4,55,0
1455,22,51,King,4,2,Bournemouth,91,70,0
1474,22,80,Long,2,4,Burnley,90,41,0
1479,22,382,Trippier,2,17,Spurs,6,52,0
