,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
511,251,30,Darmian,2,11,Man Utd,1,50,0
521,256,30,Mata,3,11,Man Utd,1,72,0
541,262,30,Herrera,3,11,Man Utd,1,62,0
561,272,30,Ibrahimovic,4,11,Man Utd,1,114,0
606,297,30,Fonte,2,20,West Ham,21,53,0
641,309,30,Clasie,3,13,Southampton,20,46,0
656,333,30,Shaqiri,3,14,Stoke,110,60,0
681,352,30,Khazri,3,15,Sunderland,56,60,0
726,369,30,Routledge,3,16,Swansea,80,45,0
751,384,30,Walker,2,17,Spurs,6,62,0
806,403,30,Kane,4,17,Spurs,6,119,0
826,409,30,Prödl,2,18,Watford,57,43,0
856,425,30,Deeney,4,18,Watford,57,66,0
991,541,30,Bravo,1,10,Man City,43,50,0
1001,556,30,Mariappa,2,18,Watford,57,40,0
1031,570,30,David Luiz,2,4,Chelsea,8,62,0
1061,629,30,Gestede,4,12,Middlesbrough,25,45,0
1100,657,30,Martinez,1,1,Arsenal,3,39,0
76,37,30,Arter,3,2,Bournemouth,91,50,-1
27,14,31,Özil,3,1,Arsenal,3,95,14
307,163,31,Hernández,4,7,Hull,88,59,14
152,82,31,Hazard,3,4,Chelsea,8,105,13
787,394,31,Eriksen,3,17,Spurs,6,89,13
797,398,31,Alli,3,17,Spurs,6,91,12
237,127,31,Jagielka,2,6,Everton,11,49,11
612,298,31,Yoshida,2,13,Southampton,20,45,11
857,425,31,Deeney,4,18,Watford,57,66,11
1072,637,31,Niang,4,18,Watford,57,58,11
622,304,31,Redmond,3,13,Southampton,20,59,10
22,13,31,Walcott,3,1,Arsenal,3,72,9
92,52,31,Afobe,4,2,Bournemouth,91,53,9
117,58,31,Keane,2,3,Burnley,90,50,9
362,184,31,Vardy,4,8,Leicester,13,99,9
407,206,31,Markovic,3,7,Hull,88,52,9
2,5,31,Gabriel,2,1,Arsenal,3,48,8
77,37,31,Arter,3,2,Bournemouth,91,50,8
107,56,31,Mee,2,3,Burnley,90,44,8
122,62,31,Boyd,3,3,Burnley,90,51,8
222,120,31,Townsend,3,5,Crystal Palace,31,57,8
347,177,31,Albrighton,3,8,Leicester,13,50,8
487,239,31,Agüero,4,10,Man City,43,127,8
